"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","16-MAR-26","15-MAR-26","12:30:00Z","CENTRE","ALABAMA","UNITED STATES","AIRCRAFT WENT THROUGH A FENCE DAMAGING THE LEFT WING AFTER STARTING THE ENGINE AT THE FUEL FARM AND INCREASING THE THROTTLE","INCIDENT","ALABAMA AND NORTHWEST FLORIDA FSDO","N3795T","","","PIPER","PA28R","No","UNKNOWN","PERSONAL","STANDING (STD)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","14:30:00Z","PEACHTREE CITY","GEORGIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE FAILURE AND MADE A FORCED LANDING ON HIGHWAY 74","INCIDENT","ATLANTA FSDO","N6500J","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","14-MAR-26","16:40:00Z","ATHENS","GEORGIA","UNITED STATES","AIRCRAFT LANDED GEAR UP ON RUNWAY 27","INCIDENT","ATLANTA FSDO","N9024P","","","PIPER","PA24","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","00:16:00Z","FLAGSTAFF","ARIZONA","UNITED STATES","AIRCRAFT POPPED THE NOSE GEAR WHILE LANDING AND CAME TO REST LEFT OF THE RUNWAY","INCIDENT","LAS VEGAS FSDO","N20489","","","CESSNA","T182T","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","17:35:00Z","MESA","ARIZONA","UNITED STATES","AIRCRAFT VEERED OFF THE RUNWAY WHILE LANDING AND DAMAGED A RUNWAY EDGE LIGHT","INCIDENT","SCOTTSDALE FSDO","N4402U","OXF1791","","PIPER","PA28","No","UNKNOWN","UNKNOWN","LANDING (LDG)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","15-MAR-26","12:44:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT ARRIVED AT GATE AND REPORTED A FIRE IN THE LEFT MAIN TIRE ASSEMBLY AND DAMAGE TO THE TIRE AND BRAKE ASSEMBLY","INCIDENT","HOUSTON FSDO","N8871Q","SWA1229","SOUTHWEST AIRLINES","BOEING","737","No","FIRE","COMMERCIAL","UNKNOWN (UNK)","121","NONE","No","2","0","0","0","0","2","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAR-26","10-MAR-26","03:15:00Z","GREEN BAY","WISCONSIN","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE AND POST FLIGHT INSPECTION REVEALED A DENT INSIDE THE STRUT OF THE LEFT WING, GREEN BAY, WI.","INCIDENT","MILWAUKEE FSDO","N5303T","","","CESSNA","172","No","UNKNOWN","INSTRUCTION","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","19-MAR-26","23:43:00Z","GLOBE","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A FIELD, GLOBE, AZ.","INCIDENT","SCOTTSDALE FSDO","N9111","","","ZLIN AVIATION","SAVAGE CUB-S","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","19-MAR-26","13:08:00Z","STUART","FLORIDA","UNITED STATES","AIRCRAFT VEERED OFF TAXIWAY AND STRUCK A TAXIWAY LIGHT AND THE TAXIWAY LIGHT SUBSEQUENTLY STRUCK THE WINDOW OF N92AW, STUART, FL.","INCIDENT","SOUTH FLORIDA FSDO","N737GA","","","CESSNA","172","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","19-MAR-26","17:35:00Z","PAOLA","KANSAS","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY AND LANDED ON A ROAD DUE TO ENGINE ISSUES, PAOLA, KS.","INCIDENT","WICHITA FSDO","N908KC","","","COSTRUZIONI AERONAUTICHE TECNA","P-MENTOR","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
